country,state,city,station_id,station_type,pollutant,observation_date,year,value,unit,measurement_type,frequency,source
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,19,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,71,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,38,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,6,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,34,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,129,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,50,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,11,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,20,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,74,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,28,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,9,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
